Job ID,Job Title,Company Name,Job Location,Job Type,Salary Range,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite,Company Size
JOB48,Financial Analyst,HCL,Bangalore,Full-time,3-5 LPA,2-5 years,2025-01-09,2025-01-31,LinkedIn,108,B.Sc,"Excel, Digital Marketing, AWS",Remote,Medium (51-500)
JOB49,Business Analyst,Accenture,Kolkata,Contract,12-20 LPA,10+ years,2025-01-20,2025-02-16,Naukri.com,272,MBA,"Digital Marketing, C++, React",Remote,Small (1-50)
JOB50,Graphic Designer,Deloitte,Mumbai,Contract,8-12 LPA,5-10 years,2024-12-24,2025-01-01,Naukri.com,432,M.Tech,"Digital Marketing, SQL, Java",Remote,Medium (51-500)
JOB51,Cyber Security Analyst,Google,Delhi,Internship,20+ LPA,5-10 years,2025-01-03,2025-01-14,LinkedIn,190,B.Sc,"Java, Excel, Machine Learning",Hybrid,Large (500+)
JOB52,HR Manager,IBM,Pune,Full-time,3-5 LPA,0-2 years,2024-12-26,2025-01-03,Naukri.com,500,B.Sc,"React, Excel, AWS",Hybrid,Small (1-50)
JOB53,Marketing Executive,Infosys,Kolkata,Contract,8-12 LPA,2-5 years,2025-01-14,2025-01-23,Naukri.com,288,B.Tech,"Java, UI/UX, React",Hybrid,Large (500+)
JOB54,Financial Analyst,HCL,Bangalore,Full-time,12-20 LPA,5-10 years,2024-12-26,2025-01-18,LinkedIn,446,M.Tech,"C++, Machine Learning, Digital Marketing",Remote,Large (500+)
JOB55,Data Scientist,TCS,Mumbai,Contract,5-8 LPA,5-10 years,2024-12-28,2025-01-16,Indeed,268,PhD,"C++, Machine Learning, Excel",Remote,Small (1-50)
JOB56,Product Manager,Amazon,Kolkata,Full-time,12-20 LPA,5-10 years,2025-01-22,2025-01-31,Indeed,476,B.Sc,"AWS, SQL, Excel",Hybrid,Large (500+)
JOB57,Cyber Security Analyst,Wipro,Kolkata,Part-time,20+ LPA,10+ years,2024-12-30,2025-01-08,Indeed,222,B.Sc,"React, Java, Python",Hybrid,Small (1-50)
JOB58,HR Manager,HCL,Bangalore,Part-time,12-20 LPA,0-2 years,2025-01-18,2025-02-08,Indeed,472,PhD,"C++, Excel, Machine Learning",Hybrid,Medium (51-500)
JOB59,Cyber Security Analyst,IBM,Jaipur,Internship,3-5 LPA,10+ years,2025-01-12,2025-01-26,LinkedIn,138,PhD,"SQL, Java, Digital Marketing",Remote,Small (1-50)
JOB60,Sales Representative,Infosys,Noida,Full-time,20+ LPA,2-5 years,2024-12-24,2025-01-12,Indeed,474,B.Tech,"Machine Learning, C++, SQL",Onsite,Medium (51-500)
JOB61,Financial Analyst,Microsoft,Delhi,Internship,8-12 LPA,0-2 years,2025-01-14,2025-01-30,Indeed,161,PhD,"UI/UX, Machine Learning, SQL",Onsite,Medium (51-500)
JOB62,Cyber Security Analyst,Deloitte,Bangalore,Full-time,5-8 LPA,0-2 years,2025-01-01,2025-01-31,Naukri.com,47,M.Tech,"UI/UX, Digital Marketing, C++",Hybrid,Small (1-50)
JOB63,Graphic Designer,Deloitte,Jaipur,Full-time,20+ LPA,2-5 years,2025-01-03,2025-01-24,Indeed,48,M.Tech,"AWS, Machine Learning, Excel",Hybrid,Medium (51-500)
JOB64,Sales Representative,IBM,Jaipur,Full-time,3-5 LPA,10+ years,2025-01-14,2025-01-22,Naukri.com,350,B.Sc,"UI/UX, Excel, Python",Hybrid,Large (500+)
JOB65,Sales Representative,Deloitte,Hyderabad,Full-time,3-5 LPA,0-2 years,2025-01-05,2025-01-14,Indeed,237,B.Sc,"Java, SQL, C++",Hybrid,Large (500+)
JOB66,Data Scientist,Infosys,Bangalore,Internship,8-12 LPA,2-5 years,2025-01-12,2025-02-06,Indeed,228,PhD,"Java, UI/UX, Python",Onsite,Large (500+)
JOB67,Product Manager,TCS,Hyderabad,Contract,12-20 LPA,2-5 years,2025-01-12,2025-01-20,Indeed,262,B.Tech,"C++, Python, Machine Learning",Hybrid,Small (1-50)
JOB68,HR Manager,Accenture,Ahmedabad,Contract,8-12 LPA,2-5 years,2024-12-31,2025-01-17,Indeed,381,B.Sc,"SQL, Java, React",Remote,Medium (51-500)
JOB69,Cyber Security Analyst,Accenture,Bangalore,Contract,20+ LPA,10+ years,2025-01-09,2025-02-06,LinkedIn,148,M.Tech,"C++, AWS, Python",Onsite,Large (500+)
JOB70,Cyber Security Analyst,Wipro,Pune,Internship,3-5 LPA,2-5 years,2024-12-26,2025-01-12,Indeed,316,MBA,"Python, Java, Excel",Remote,Medium (51-500)
JOB71,Graphic Designer,Amazon,Mumbai,Part-time,8-12 LPA,5-10 years,2025-01-15,2025-01-26,LinkedIn,430,PhD,"C++, Python, SQL",Remote,Large (500+)
JOB72,Sales Representative,Deloitte,Noida,Part-time,12-20 LPA,10+ years,2024-12-27,2025-01-03,Indeed,482,B.Tech,"Java, Digital Marketing, React",Onsite,Small (1-50)
JOB73,Sales Representative,Accenture,Mumbai,Contract,3-5 LPA,2-5 years,2025-01-20,2025-02-07,Naukri.com,176,MBA,"Python, React, Java",Onsite,Medium (51-500)
JOB74,Product Manager,Microsoft,Ahmedabad,Contract,8-12 LPA,2-5 years,2025-01-22,2025-02-12,LinkedIn,173,B.Sc,"Java, Python, C++",Remote,Small (1-50)
JOB75,HR Manager,Wipro,Ahmedabad,Internship,20+ LPA,5-10 years,2024-12-27,2025-01-18,Naukri.com,42,M.Tech,"Excel, UI/UX, AWS",Hybrid,Small (1-50)
JOB76,Product Manager,IBM,Ahmedabad,Contract,8-12 LPA,0-2 years,2025-01-10,2025-02-09,LinkedIn,241,B.Sc,"Digital Marketing, AWS, Java",Remote,Small (1-50)
JOB77,Business Analyst,Accenture,Noida,Contract,12-20 LPA,0-2 years,2025-01-09,2025-01-24,LinkedIn,160,M.Tech,"AWS, Excel, React",Remote,Small (1-50)
JOB78,Marketing Executive,HCL,Delhi,Contract,3-5 LPA,2-5 years,2025-01-16,2025-02-01,LinkedIn,368,B.Sc,"UI/UX, React, Digital Marketing",Onsite,Large (500+)
JOB79,Data Scientist,Infosys,Noida,Part-time,8-12 LPA,10+ years,2025-01-14,2025-02-06,Naukri.com,124,PhD,"AWS, UI/UX, C++",Remote,Small (1-50)
JOB80,Financial Analyst,Wipro,Jaipur,Full-time,20+ LPA,5-10 years,2024-12-31,2025-01-30,LinkedIn,299,MBA,"C++, UI/UX, Python",Remote,Medium (51-500)
JOB81,Financial Analyst,Infosys,Chennai,Contract,8-12 LPA,5-10 years,2025-01-07,2025-01-16,Naukri.com,62,B.Tech,"Python, AWS, Digital Marketing",Onsite,Large (500+)
JOB82,Sales Representative,Wipro,Delhi,Part-time,12-20 LPA,10+ years,2025-01-19,2025-02-09,Naukri.com,263,MBA,"Digital Marketing, Machine Learning, UI/UX",Hybrid,Large (500+)
JOB83,Product Manager,Accenture,Noida,Contract,12-20 LPA,0-2 years,2025-01-05,2025-02-02,Indeed,163,MBA,"UI/UX, C++, AWS",Remote,Small (1-50)
JOB84,HR Manager,HCL,Ahmedabad,Internship,5-8 LPA,10+ years,2025-01-14,2025-01-27,Naukri.com,102,MBA,"Digital Marketing, Python, Java",Hybrid,Small (1-50)
JOB85,Financial Analyst,Infosys,Chennai,Part-time,8-12 LPA,10+ years,2025-01-11,2025-02-02,Indeed,356,M.Tech,"React, Digital Marketing, UI/UX",Onsite,Small (1-50)
JOB86,Product Manager,Wipro,Hyderabad,Full-time,3-5 LPA,5-10 years,2025-01-11,2025-02-09,Naukri.com,24,PhD,"AWS, Python, React",Remote,Small (1-50)
JOB87,Data Scientist,TCS,Mumbai,Part-time,20+ LPA,0-2 years,2024-12-27,2025-01-19,Indeed,114,B.Tech,"AWS, Java, C++",Hybrid,Medium (51-500)
JOB88,Financial Analyst,HCL,Jaipur,Full-time,5-8 LPA,2-5 years,2025-01-17,2025-02-01,Naukri.com,147,B.Sc,"Digital Marketing, AWS, Excel",Onsite,Small (1-50)
JOB89,Sales Representative,TCS,Mumbai,Contract,12-20 LPA,5-10 years,2025-01-19,2025-01-29,Naukri.com,120,B.Tech,"C++, AWS, Machine Learning",Onsite,Large (500+)
JOB90,Graphic Designer,TCS,Hyderabad,Contract,5-8 LPA,5-10 years,2025-01-05,2025-02-02,LinkedIn,166,MBA,"Java, Excel, Digital Marketing",Onsite,Large (500+)
JOB91,Software Engineer,IBM,Chennai,Full-time,20+ LPA,5-10 years,2024-12-27,2025-01-04,Indeed,412,B.Sc,"C++, Digital Marketing, UI/UX",Onsite,Large (500+)
JOB92,Graphic Designer,Infosys,Jaipur,Part-time,8-12 LPA,5-10 years,2025-01-08,2025-02-06,Naukri.com,116,MBA,"C++, AWS, Java",Remote,Medium (51-500)
JOB93,Marketing Executive,Google,Noida,Internship,5-8 LPA,10+ years,2025-01-02,2025-01-31,Naukri.com,78,B.Tech,"Digital Marketing, Java, UI/UX",Hybrid,Medium (51-500)
JOB94,Software Engineer,HCL,Hyderabad,Full-time,12-20 LPA,2-5 years,2025-01-12,2025-02-10,LinkedIn,496,MBA,"SQL, Excel, C++",Hybrid,Small (1-50)
JOB95,HR Manager,Deloitte,Mumbai,Full-time,5-8 LPA,0-2 years,2025-01-18,2025-02-03,LinkedIn,80,M.Tech,"Excel, Machine Learning, C++",Onsite,Large (500+)
JOB96,Cyber Security Analyst,Amazon,Pune,Part-time,8-12 LPA,0-2 years,2025-01-16,2025-02-02,LinkedIn,410,PhD,"AWS, Digital Marketing, UI/UX",Remote,Small (1-50)
JOB97,Software Engineer,TCS,Jaipur,Internship,3-5 LPA,10+ years,2024-12-27,2025-01-03,Naukri.com,405,MBA,"Digital Marketing, C++, Machine Learning",Hybrid,Small (1-50)
JOB98,Marketing Executive,TCS,Kolkata,Full-time,20+ LPA,2-5 years,2024-12-25,2025-01-14,Naukri.com,428,MBA,"Machine Learning, React, Python",Hybrid,Medium (51-500)
JOB99,Financial Analyst,Amazon,Bangalore,Internship,20+ LPA,0-2 years,2025-01-20,2025-02-05,Indeed,325,PhD,"AWS, UI/UX, Python",Remote,Small (1-50)
JOB100,Financial Analyst,HCL,Kolkata,Internship,5-8 LPA,2-5 years,2024-12-24,2025-01-04,Naukri.com,118,B.Tech,"Java, Excel, React",Hybrid,Large (500+)
JOB101,Cyber Security Analyst,Amazon,Jaipur,Internship,3-5 LPA,5-10 years,2024-12-30,2025-01-14,LinkedIn,434,B.Sc,"Machine Learning, UI/UX, SQL",Onsite,Large (500+)
JOB102,Product Manager,HCL,Jaipur,Full-time,12-20 LPA,0-2 years,2025-01-02,2025-01-25,Naukri.com,137,M.Tech,"Machine Learning, Python, C++",Remote,Medium (51-500)
JOB103,Marketing Executive,Infosys,Pune,Internship,12-20 LPA,0-2 years,2025-01-02,2025-01-30,Indeed,16,B.Sc,"SQL, Digital Marketing, Python",Remote,Medium (51-500)
JOB104,Financial Analyst,Wipro,Delhi,Full-time,12-20 LPA,0-2 years,2024-12-25,2025-01-10,LinkedIn,212,B.Tech,"Machine Learning, C++, Digital Marketing",Hybrid,Medium (51-500)
JOB105,Sales Representative,Wipro,Jaipur,Part-time,3-5 LPA,0-2 years,2024-12-28,2025-01-18,Naukri.com,260,B.Tech,"Digital Marketing, React, SQL",Onsite,Medium (51-500)
JOB106,Graphic Designer,Amazon,Noida,Full-time,12-20 LPA,0-2 years,2024-12-28,2025-01-07,Indeed,53,B.Tech,"Java, Python, Excel",Remote,Large (500+)
JOB107,Cyber Security Analyst,Accenture,Noida,Contract,20+ LPA,10+ years,2025-01-16,2025-02-07,LinkedIn,235,M.Tech,"C++, Machine Learning, Python",Onsite,Large (500+)
JOB108,Cyber Security Analyst,IBM,Noida,Full-time,3-5 LPA,5-10 years,2025-01-03,2025-01-20,Indeed,401,MBA,"Java, SQL, React",Hybrid,Medium (51-500)
JOB109,Product Manager,Microsoft,Bangalore,Contract,3-5 LPA,10+ years,2024-12-27,2025-01-07,Indeed,412,PhD,"React, AWS, Machine Learning",Onsite,Large (500+)
JOB110,Financial Analyst,Google,Bangalore,Contract,8-12 LPA,2-5 years,2025-01-15,2025-01-22,Naukri.com,375,B.Tech,"Machine Learning, Digital Marketing, Python",Hybrid,Large (500+)
JOB111,Graphic Designer,Amazon,Pune,Full-time,20+ LPA,10+ years,2025-01-18,2025-01-31,LinkedIn,483,M.Tech,"Excel, Java, Machine Learning",Onsite,Medium (51-500)
JOB112,Data Scientist,Wipro,Jaipur,Part-time,3-5 LPA,5-10 years,2025-01-22,2025-02-11,Naukri.com,384,B.Tech,"AWS, C++, Machine Learning",Remote,Medium (51-500)
JOB113,HR Manager,Amazon,Jaipur,Full-time,5-8 LPA,5-10 years,2024-12-24,2025-01-22,Naukri.com,370,B.Tech,"SQL, React, Python",Onsite,Small (1-50)
JOB114,Sales Representative,TCS,Noida,Part-time,3-5 LPA,5-10 years,2024-12-26,2025-01-18,LinkedIn,92,PhD,"C++, Python, Excel",Hybrid,Large (500+)
JOB115,Business Analyst,Google,Hyderabad,Internship,3-5 LPA,2-5 years,2024-12-31,2025-01-20,Naukri.com,194,B.Sc,"Python, Machine Learning, Java",Hybrid,Small (1-50)
JOB116,Financial Analyst,Amazon,Chennai,Part-time,8-12 LPA,0-2 years,2025-01-07,2025-02-05,Naukri.com,500,M.Tech,"Machine Learning, SQL, Java",Onsite,Medium (51-500)
JOB117,Software Engineer,HCL,Kolkata,Contract,12-20 LPA,2-5 years,2025-01-22,2025-01-31,Naukri.com,253,PhD,"Machine Learning, C++, SQL",Onsite,Medium (51-500)
JOB118,HR Manager,Accenture,Jaipur,Internship,12-20 LPA,5-10 years,2025-01-22,2025-02-04,Indeed,290,MBA,"React, Digital Marketing, Java",Remote,Small (1-50)
JOB119,HR Manager,Deloitte,Delhi,Contract,20+ LPA,10+ years,2025-01-22,2025-02-19,LinkedIn,20,B.Sc,"Excel, Python, React",Onsite,Small (1-50)
JOB120,Cyber Security Analyst,TCS,Kolkata,Full-time,20+ LPA,5-10 years,2025-01-02,2025-01-25,Indeed,464,B.Sc,"UI/UX, Python, Excel",Remote,Medium (51-500)
JOB121,Product Manager,Google,Bangalore,Internship,5-8 LPA,0-2 years,2025-01-08,2025-02-04,LinkedIn,373,MBA,"Java, React, UI/UX",Onsite,Large (500+)
JOB122,Product Manager,Deloitte,Mumbai,Full-time,3-5 LPA,2-5 years,2025-01-13,2025-01-21,LinkedIn,159,PhD,"Machine Learning, Excel, UI/UX",Remote,Large (500+)
JOB123,Data Scientist,Accenture,Noida,Contract,8-12 LPA,0-2 years,2024-12-31,2025-01-08,Naukri.com,41,M.Tech,"Python, AWS, Machine Learning",Hybrid,Large (500+)
JOB124,Graphic Designer,Amazon,Ahmedabad,Contract,3-5 LPA,0-2 years,2025-01-18,2025-02-06,LinkedIn,449,B.Sc,"Java, Machine Learning, Excel",Remote,Medium (51-500)
JOB125,Marketing Executive,Deloitte,Jaipur,Contract,8-12 LPA,10+ years,2024-12-27,2025-01-04,Indeed,42,M.Tech,"Python, UI/UX, Machine Learning",Onsite,Medium (51-500)
JOB126,Business Analyst,Wipro,Chennai,Part-time,3-5 LPA,0-2 years,2025-01-13,2025-02-10,LinkedIn,476,B.Tech,"Digital Marketing, AWS, C++",Remote,Large (500+)
JOB127,Data Scientist,IBM,Ahmedabad,Full-time,3-5 LPA,2-5 years,2025-01-09,2025-02-02,LinkedIn,441,B.Sc,"C++, Python, SQL",Remote,Medium (51-500)
JOB128,Data Scientist,HCL,Pune,Part-time,3-5 LPA,0-2 years,2025-01-15,2025-02-14,Naukri.com,318,M.Tech,"UI/UX, React, Excel",Remote,Small (1-50)
JOB129,Data Scientist,Amazon,Hyderabad,Contract,3-5 LPA,2-5 years,2025-01-16,2025-01-26,Naukri.com,459,B.Tech,"Digital Marketing, React, Excel",Remote,Large (500+)
JOB130,Software Engineer,Amazon,Ahmedabad,Part-time,8-12 LPA,5-10 years,2025-01-20,2025-02-19,Naukri.com,410,M.Tech,"AWS, SQL, UI/UX",Remote,Large (500+)
JOB131,Marketing Executive,Amazon,Noida,Part-time,8-12 LPA,5-10 years,2025-01-02,2025-01-10,LinkedIn,133,PhD,"AWS, React, C++",Onsite,Large (500+)
JOB132,Business Analyst,Infosys,Pune,Internship,12-20 LPA,0-2 years,2024-12-29,2025-01-22,LinkedIn,202,PhD,"AWS, Digital Marketing, Python",Hybrid,Medium (51-500)
JOB133,Marketing Executive,Deloitte,Hyderabad,Contract,5-8 LPA,0-2 years,2025-01-14,2025-02-10,Indeed,251,B.Tech,"Excel, AWS, Java",Remote,Large (500+)
JOB134,Product Manager,Accenture,Chennai,Full-time,12-20 LPA,5-10 years,2025-01-04,2025-01-20,Indeed,437,PhD,"Machine Learning, C++, Excel",Remote,Medium (51-500)
JOB135,Cyber Security Analyst,HCL,Bangalore,Contract,8-12 LPA,10+ years,2025-01-16,2025-02-05,LinkedIn,491,MBA,"Excel, Machine Learning, Digital Marketing",Onsite,Small (1-50)
JOB136,Software Engineer,HCL,Ahmedabad,Part-time,20+ LPA,0-2 years,2025-01-02,2025-01-23,Indeed,85,B.Sc,"Java, AWS, Machine Learning",Hybrid,Large (500+)
JOB137,Marketing Executive,Amazon,Jaipur,Part-time,8-12 LPA,10+ years,2025-01-21,2025-02-06,Indeed,190,MBA,"Machine Learning, Digital Marketing, C++",Onsite,Medium (51-500)
JOB138,Data Scientist,IBM,Bangalore,Part-time,5-8 LPA,5-10 years,2025-01-15,2025-02-02,Naukri.com,421,MBA,"AWS, C++, Machine Learning",Remote,Large (500+)
JOB139,Data Scientist,Infosys,Noida,Internship,5-8 LPA,5-10 years,2025-01-09,2025-02-03,Indeed,57,PhD,"AWS, Excel, React",Hybrid,Small (1-50)
JOB140,Marketing Executive,Accenture,Ahmedabad,Full-time,8-12 LPA,2-5 years,2025-01-12,2025-01-26,Naukri.com,410,MBA,"Machine Learning, Excel, Java",Remote,Large (500+)
JOB141,Graphic Designer,IBM,Pune,Contract,8-12 LPA,0-2 years,2025-01-17,2025-01-31,Indeed,163,MBA,"Java, Excel, Machine Learning",Hybrid,Small (1-50)
JOB142,Data Scientist,Infosys,Chennai,Internship,3-5 LPA,0-2 years,2025-01-10,2025-02-04,LinkedIn,322,B.Tech,"UI/UX, Java, Machine Learning",Remote,Large (500+)
JOB143,Data Scientist,Deloitte,Delhi,Internship,12-20 LPA,2-5 years,2024-12-29,2025-01-20,Naukri.com,293,MBA,"C++, Python, AWS",Hybrid,Medium (51-500)
